SurveyResponseKey,DateKey,CustomerKey,ProductCategoryKey,EnglishProductCategoryName,ProductSubcategoryKey,EnglishProductSubcategoryName,Date
48,20120417,11331,3,Clothing,20,Gloves,2012-04-17 00:00:00.000
49,20120417,11331,3,Clothing,24,Tights,2012-04-17 00:00:00.000
50,20120317,11335,4,Accessories,26,Bike Racks,2012-03-17 00:00:00.000
51,20120301,11338,4,Accessories,32,Hydration Packs,2012-03-01 00:00:00.000
52,20120316,11344,4,Accessories,27,Bike Stands,2012-03-16 00:00:00.000
53,20120304,11358,4,Accessories,27,Bike Stands,2012-03-04 00:00:00.000
54,20120304,11358,4,Accessories,28,Bottles and Cages,2012-03-04 00:00:00.000
55,20120423,11364,3,Clothing,24,Tights,2012-04-23 00:00:00.000
56,20120331,11387,4,Accessories,31,Helmets,2012-03-31 00:00:00.000
57,20120401,11413,3,Clothing,25,Vests,2012-04-01 00:00:00.000
58,20120401,11413,4,Accessories,37,Tires and Tubes,2012-04-01 00:00:00.000
59,20120406,11431,4,Accessories,27,Bike Stands,2012-04-06 00:00:00.000
60,20120410,11446,3,Clothing,22,Shorts,2012-04-10 00:00:00.000
61,20120311,11449,4,Accessories,28,Bottles and Cages,2012-03-11 00:00:00.000
62,20120409,11464,4,Accessories,27,Bike Stands,2012-04-09 00:00:00.000
63,20120313,11495,4,Accessories,33,Lights,2012-03-13 00:00:00.000
64,20120409,11498,3,Clothing,21,Jerseys,2012-04-09 00:00:00.000
65,20120409,11498,3,Clothing,22,Shorts,2012-04-09 00:00:00.000
66,20120409,11498,4,Accessories,29,Cleaners,2012-04-09 00:00:00.000
67,20120407,11500,4,Accessories,36,Pumps,2012-04-07 00:00:00.000
68,20120325,11502,3,Clothing,21,Jerseys,2012-03-25 00:00:00.000
69,20120325,11502,3,Clothing,23,Socks,2012-03-25 00:00:00.000
70,20120322,11505,4,Accessories,30,Fenders,2012-03-22 00:00:00.000
71,20120322,11505,4,Accessories,34,Locks,2012-03-22 00:00:00.000
72,20120322,11505,4,Accessories,37,Tires and Tubes,2012-03-22 00:00:00.000
73,20120403,11510,3,Clothing,25,Vests,2012-04-03 00:00:00.000
74,20120426,11519,4,Accessories,37,Tires and Tubes,2012-04-26 00:00:00.000
75,20120302,11523,3,Clothing,19,Caps,2012-03-02 00:00:00.000
76,20120302,11523,3,Clothing,25,Vests,2012-03-02 00:00:00.000
77,20120324,11530,4,Accessories,29,Cleaners,2012-03-24 00:00:00.000
78,20120314,11562,4,Accessories,34,Locks,2012-03-14 00:00:00.000
79,20120312,11613,3,Clothing,25,Vests,2012-03-12 00:00:00.000
80,20120419,11618,4,Accessories,36,Pumps,2012-04-19 00:00:00.000
81,20120317,11631,4,Accessories,37,Tires and Tubes,2012-03-17 00:00:00.000
82,20120301,11640,4,Accessories,27,Bike Stands,2012-03-01 00:00:00.000
83,20120301,11640,4,Accessories,33,Lights,2012-03-01 00:00:00.000
84,20120424,11641,4,Accessories,34,Locks,2012-04-24 00:00:00.000
85,20120301,11647,4,Accessories,32,Hydration Packs,2012-03-01 00:00:00.000
86,20120301,11647,4,Accessories,33,Lights,2012-03-01 00:00:00.000
87,20120403,11651,3,Clothing,21,Jerseys,2012-04-03 00:00:00.000
88,20120313,11711,3,Clothing,22,Shorts,2012-03-13 00:00:00.000
89,20120313,11711,4,Accessories,32,Hydration Packs,2012-03-13 00:00:00.000
90,20120404,11719,4,Accessories,26,Bike Racks,2012-04-04 00:00:00.000
91,20120404,11719,4,Accessories,34,Locks,2012-04-04 00:00:00.000
92,20120419,11749,4,Accessories,33,Lights,2012-04-19 00:00:00.000
93,20120322,11753,3,Clothing,22,Shorts,2012-03-22 00:00:00.000
94,20120322,11753,4,Accessories,35,Panniers,2012-03-22 00:00:00.000
95,20120425,11758,4,Accessories,34,Locks,2012-04-25 00:00:00.000
96,20120309,11808,4,Accessories,29,Cleaners,2012-03-09 00:00:00.000
97,20120229,11845,4,Accessories,30,Fenders,2012-02-29 00:00:00.000
98,20120402,11875,3,Clothing,22,Shorts,2012-04-02 00:00:00.000
99,20120402,11875,3,Clothing,24,Tights,2012-04-02 00:00:00.000
100,20120405,11888,3,Clothing,22,Shorts,2012-04-05 00:00:00.000
101,20120405,11888,4,Accessories,35,Panniers,2012-04-05 00:00:00.000
102,20120322,11904,4,Accessories,36,Pumps,2012-03-22 00:00:00.000
103,20120325,11911,3,Clothing,18,Bib-Shorts,2012-03-25 00:00:00.000
104,20120402,11913,4,Accessories,27,Bike Stands,2012-04-02 00:00:00.000
105,20120407,11917,3,Clothing,23,Socks,2012-04-07 00:00:00.000
106,20120315,11918,4,Accessories,32,Hydration Packs,2012-03-15 00:00:00.000
107,20120315,11918,4,Accessories,36,Pumps,2012-03-15 00:00:00.000
108,20120303,11952,3,Clothing,25,Vests,2012-03-03 00:00:00.000
109,20120303,11952,4,Accessories,31,Helmets,2012-03-03 00:00:00.000
110,20120410,11963,4,Accessories,30,Fenders,2012-04-10 00:00:00.000
111,20120410,11963,4,Accessories,36,Pumps,2012-04-10 00:00:00.000
112,20120406,11968,4,Accessories,34,Locks,2012-04-06 00:00:00.000
113,20120416,11986,4,Accessories,34,Locks,2012-04-16 00:00:00.000
114,20120312,11987,3,Clothing,22,Shorts,2012-03-12 00:00:00.000
115,20120408,11991,3,Clothing,18,Bib-Shorts,2012-04-08 00:00:00.000
116,20120408,11991,4,Accessories,36,Pumps,2012-04-08 00:00:00.000
117,20120326,11995,3,Clothing,24,Tights,2012-03-26 00:00:00.000
118,20120327,11997,4,Accessories,28,Bottles and Cages,2012-03-27 00:00:00.000
119,20120408,12002,3,Clothing,25,Vests,2012-04-08 00:00:00.000
120,20120322,12038,3,Clothing,21,Jerseys,2012-03-22 00:00:00.000
121,20120330,12056,3,Clothing,20,Gloves,2012-03-30 00:00:00.000
122,20120418,12089,3,Clothing,24,Tights,2012-04-18 00:00:00.000
123,20120417,12113,3,Clothing,25,Vests,2012-04-17 00:00:00.000
124,20120417,12113,4,Accessories,29,Cleaners,2012-04-17 00:00:00.000
125,20120319,12129,4,Accessories,28,Bottles and Cages,2012-03-19 00:00:00.000
126,20120306,12136,3,Clothing,24,Tights,2012-03-06 00:00:00.000
127,20120306,12136,4,Accessories,34,Locks,2012-03-06 00:00:00.000
128,20120411,12165,4,Accessories,34,Locks,2012-04-11 00:00:00.000
129,20120410,12166,3,Clothing,22,Shorts,2012-04-10 00:00:00.000
130,20120410,12166,4,Accessories,37,Tires and Tubes,2012-04-10 00:00:00.000
131,20120306,12226,4,Accessories,28,Bottles and Cages,2012-03-06 00:00:00.000
132,20120420,12243,4,Accessories,34,Locks,2012-04-20 00:00:00.000
133,20120421,12248,3,Clothing,22,Shorts,2012-04-21 00:00:00.000
134,20120421,12248,4,Accessories,35,Panniers,2012-04-21 00:00:00.000
135,20120421,12248,4,Accessories,36,Pumps,2012-04-21 00:00:00.000
136,20120322,12306,4,Accessories,29,Cleaners,2012-03-22 00:00:00.000
137,20120426,12317,3,Clothing,21,Jerseys,2012-04-26 00:00:00.000
138,20120426,12317,4,Accessories,26,Bike Racks,2012-04-26 00:00:00.000
139,20120426,12317,4,Accessories,37,Tires and Tubes,2012-04-26 00:00:00.000
140,20120311,12327,3,Clothing,23,Socks,2012-03-11 00:00:00.000
141,20120311,12327,4,Accessories,36,Pumps,2012-03-11 00:00:00.000
142,20120326,12338,4,Accessories,27,Bike Stands,2012-03-26 00:00:00.000
143,20120411,12343,3,Clothing,23,Socks,2012-04-11 00:00:00.000
144,20120405,12344,3,Clothing,24,Tights,2012-04-05 00:00:00.000
145,20120421,12350,3,Clothing,22,Shorts,2012-04-21 00:00:00.000
146,20120421,12350,4,Accessories,33,Lights,2012-04-21 00:00:00.000
147,20120321,12351,4,Accessories,30,Fenders,2012-03-21 00:00:00.000
148,20120321,12351,4,Accessories,31,Helmets,2012-03-21 00:00:00.000
149,20120418,12354,4,Accessories,27,Bike Stands,2012-04-18 00:00:00.000
150,20120317,12358,4,Accessories,30,Fenders,2012-03-17 00:00:00.000
151,20120413,12359,4,Accessories,26,Bike Racks,2012-04-13 00:00:00.000
152,20120413,12359,4,Accessories,30,Fenders,2012-04-13 00:00:00.000
153,20120413,12359,4,Accessories,33,Lights,2012-04-13 00:00:00.000
154,20120319,12363,4,Accessories,35,Panniers,2012-03-19 00:00:00.000
155,20120319,12363,4,Accessories,36,Pumps,2012-03-19 00:00:00.000
156,20120318,12396,4,Accessories,30,Fenders,2012-03-18 00:00:00.000
157,20120320,12399,3,Clothing,18,Bib-Shorts,2012-03-20 00:00:00.000
158,20120301,12401,4,Accessories,31,Helmets,2012-03-01 00:00:00.000
159,20120402,12491,3,Clothing,23,Socks,2012-04-02 00:00:00.000
160,20120402,12491,4,Accessories,32,Hydration Packs,2012-04-02 00:00:00.000
161,20120402,12491,4,Accessories,33,Lights,2012-04-02 00:00:00.000
162,20120417,12496,4,Accessories,26,Bike Racks,2012-04-17 00:00:00.000
163,20120417,12496,4,Accessories,33,Lights,2012-04-17 00:00:00.000
164,20120316,12530,3,Clothing,24,Tights,2012-03-16 00:00:00.000
165,20120316,12530,4,Accessories,34,Locks,2012-03-16 00:00:00.000
166,20120408,12571,4,Accessories,37,Tires and Tubes,2012-04-08 00:00:00.000
167,20120406,12577,4,Accessories,32,Hydration Packs,2012-04-06 00:00:00.000
168,20120329,12580,3,Clothing,24,Tights,2012-03-29 00:00:00.000
169,20120306,12587,4,Accessories,33,Lights,2012-03-06 00:00:00.000
170,20120403,12588,4,Accessories,34,Locks,2012-04-03 00:00:00.000
171,20120410,12617,3,Clothing,22,Shorts,2012-04-10 00:00:00.000
172,20120410,12617,4,Accessories,34,Locks,2012-04-10 00:00:00.000
173,20120411,12619,3,Clothing,21,Jerseys,2012-04-11 00:00:00.000
174,20120411,12619,3,Clothing,22,Shorts,2012-04-11 00:00:00.000
175,20120411,12619,4,Accessories,33,Lights,2012-04-11 00:00:00.000
176,20120323,12630,4,Accessories,33,Lights,2012-03-23 00:00:00.000
177,20120317,12675,4,Accessories,35,Panniers,2012-03-17 00:00:00.000
178,20120317,12675,4,Accessories,37,Tires and Tubes,2012-03-17 00:00:00.000
179,20120327,12677,3,Clothing,25,Vests,2012-03-27 00:00:00.000
180,20120327,12677,4,Accessories,33,Lights,2012-03-27 00:00:00.000
181,20120420,12687,4,Accessories,34,Locks,2012-04-20 00:00:00.000
182,20120311,12697,3,Clothing,19,Caps,2012-03-11 00:00:00.000
183,20120311,12697,4,Accessories,37,Tires and Tubes,2012-03-11 00:00:00.000
184,20120311,12714,4,Accessories,29,Cleaners,2012-03-11 00:00:00.000
185,20120311,12714,4,Accessories,34,Locks,2012-03-11 00:00:00.000
186,20120229,12715,3,Clothing,19,Caps,2012-02-29 00:00:00.000
187,20120229,12715,4,Accessories,27,Bike Stands,2012-02-29 00:00:00.000
188,20120404,12760,3,Clothing,24,Tights,2012-04-04 00:00:00.000
189,20120404,12760,3,Clothing,25,Vests,2012-04-04 00:00:00.000
190,20120315,12763,4,Accessories,32,Hydration Packs,2012-03-15 00:00:00.000
191,20120412,12765,3,Clothing,24,Tights,2012-04-12 00:00:00.000
192,20120412,12765,4,Accessories,33,Lights,2012-04-12 00:00:00.000
193,20120312,12785,3,Clothing,19,Caps,2012-03-12 00:00:00.000
194,20120312,12785,3,Clothing,25,Vests,2012-03-12 00:00:00.000
195,20120304,12800,4,Accessories,29,Cleaners,2012-03-04 00:00:00.000
196,20120304,12800,4,Accessories,30,Fenders,2012-03-04 00:00:00.000
197,20120401,12837,4,Accessories,32,Hydration Packs,2012-04-01 00:00:00.000
198,20120317,12840,3,Clothing,24,Tights,2012-03-17 00:00:00.000
199,20120317,12840,4,Accessories,33,Lights,2012-03-17 00:00:00.000
200,20120317,12840,4,Accessories,36,Pumps,2012-03-17 00:00:00.000
201,20120419,12870,4,Accessories,34,Locks,2012-04-19 00:00:00.000
202,20120301,12895,3,Clothing,21,Jerseys,2012-03-01 00:00:00.000
203,20120303,12919,3,Clothing,24,Tights,2012-03-03 00:00:00.000
204,20120303,12919,4,Accessories,26,Bike Racks,2012-03-03 00:00:00.000
205,20120303,12919,4,Accessories,35,Panniers,2012-03-03 00:00:00.000
206,20120229,12939,4,Accessories,26,Bike Racks,2012-02-29 00:00:00.000
207,20120325,12945,3,Clothing,21,Jerseys,2012-03-25 00:00:00.000
208,20120312,12959,4,Accessories,29,Cleaners,2012-03-12 00:00:00.000
209,20120312,12959,4,Accessories,35,Panniers,2012-03-12 00:00:00.000
210,20120426,12987,3,Clothing,20,Gloves,2012-04-26 00:00:00.000
211,20120302,12988,4,Accessories,37,Tires and Tubes,2012-03-02 00:00:00.000
212,20120411,12991,4,Accessories,34,Locks,2012-04-11 00:00:00.000
213,20120321,12997,3,Clothing,20,Gloves,2012-03-21 00:00:00.000
214,20120328,13004,4,Accessories,26,Bike Racks,2012-03-28 00:00:00.000
215,20120330,13006,3,Clothing,22,Shorts,2012-03-30 00:00:00.000
216,20120330,13006,4,Accessories,27,Bike Stands,2012-03-30 00:00:00.000
217,20120330,13006,4,Accessories,30,Fenders,2012-03-30 00:00:00.000
218,20120312,13008,3,Clothing,22,Shorts,2012-03-12 00:00:00.000
219,20120312,13008,4,Accessories,26,Bike Racks,2012-03-12 00:00:00.000
220,20120312,13008,4,Accessories,30,Fenders,2012-03-12 00:00:00.000
221,20120229,13011,3,Clothing,21,Jerseys,2012-02-29 00:00:00.000
222,20120229,13011,3,Clothing,23,Socks,2012-02-29 00:00:00.000
223,20120321,13012,3,Clothing,20,Gloves,2012-03-21 00:00:00.000
224,20120326,13021,3,Clothing,22,Shorts,2012-03-26 00:00:00.000
225,20120323,13024,3,Clothing,24,Tights,2012-03-23 00:00:00.000
226,20120323,13024,4,Accessories,30,Fenders,2012-03-23 00:00:00.000
227,20120323,13024,4,Accessories,36,Pumps,2012-03-23 00:00:00.000
228,20120405,13026,4,Accessories,31,Helmets,2012-04-05 00:00:00.000
229,20120318,13034,4,Accessories,33,Lights,2012-03-18 00:00:00.000
230,20120317,13037,3,Clothing,25,Vests,2012-03-17 00:00:00.000
231,20120317,13037,4,Accessories,32,Hydration Packs,2012-03-17 00:00:00.000
232,20120424,13044,3,Clothing,23,Socks,2012-04-24 00:00:00.000
233,20120322,13051,4,Accessories,32,Hydration Packs,2012-03-22 00:00:00.000
234,20120415,13079,4,Accessories,30,Fenders,2012-04-15 00:00:00.000
235,20120304,13095,3,Clothing,18,Bib-Shorts,2012-03-04 00:00:00.000
236,20120304,13095,3,Clothing,21,Jerseys,2012-03-04 00:00:00.000
237,20120304,13095,4,Accessories,26,Bike Racks,2012-03-04 00:00:00.000
238,20120314,13103,3,Clothing,21,Jerseys,2012-03-14 00:00:00.000
239,20120314,13103,4,Accessories,26,Bike Racks,2012-03-14 00:00:00.000
240,20120314,13103,4,Accessories,29,Cleaners,2012-03-14 00:00:00.000
241,20120419,13110,3,Clothing,25,Vests,2012-04-19 00:00:00.000
242,20120325,13114,3,Clothing,25,Vests,2012-03-25 00:00:00.000
243,20120325,13114,4,Accessories,35,Panniers,2012-03-25 00:00:00.000
244,20120413,13138,4,Accessories,37,Tires and Tubes,2012-04-13 00:00:00.000
245,20120229,13139,4,Accessories,35,Panniers,2012-02-29 00:00:00.000
246,20120410,13143,3,Clothing,25,Vests,2012-04-10 00:00:00.000
247,20120328,13175,3,Clothing,23,Socks,2012-03-28 00:00:00.000
248,20120328,13175,3,Clothing,24,Tights,2012-03-28 00:00:00.000
249,20120328,13175,4,Accessories,28,Bottles and Cages,2012-03-28 00:00:00.000
250,20120306,13197,4,Accessories,26,Bike Racks,2012-03-06 00:00:00.000
251,20120306,13197,4,Accessories,35,Panniers,2012-03-06 00:00:00.000
252,20120229,13217,4,Accessories,28,Bottles and Cages,2012-02-29 00:00:00.000
253,20120425,13239,3,Clothing,20,Gloves,2012-04-25 00:00:00.000
254,20120425,13239,3,Clothing,21,Jerseys,2012-04-25 00:00:00.000
255,20120425,13239,4,Accessories,31,Helmets,2012-04-25 00:00:00.000
256,20120416,13249,3,Clothing,25,Vests,2012-04-16 00:00:00.000
257,20120412,13257,4,Accessories,33,Lights,2012-04-12 00:00:00.000
258,20120403,13284,3,Clothing,21,Jerseys,2012-04-03 00:00:00.000
259,20120324,13345,4,Accessories,26,Bike Racks,2012-03-24 00:00:00.000
260,20120322,13350,4,Accessories,34,Locks,2012-03-22 00:00:00.000
261,20120322,13350,4,Accessories,37,Tires and Tubes,2012-03-22 00:00:00.000
262,20120409,13391,4,Accessories,37,Tires and Tubes,2012-04-09 00:00:00.000
263,20120419,13434,3,Clothing,23,Socks,2012-04-19 00:00:00.000
264,20120419,13474,4,Accessories,36,Pumps,2012-04-19 00:00:00.000
265,20120416,13494,3,Clothing,24,Tights,2012-04-16 00:00:00.000
266,20120416,13494,4,Accessories,33,Lights,2012-04-16 00:00:00.000
267,20120418,13521,4,Accessories,27,Bike Stands,2012-04-18 00:00:00.000
268,20120328,13522,4,Accessories,32,Hydration Packs,2012-03-28 00:00:00.000
269,20120328,13522,4,Accessories,33,Lights,2012-03-28 00:00:00.000
270,20120323,13528,4,Accessories,32,Hydration Packs,2012-03-23 00:00:00.000
271,20120413,13529,3,Clothing,24,Tights,2012-04-13 00:00:00.000
272,20120309,13535,3,Clothing,23,Socks,2012-03-09 00:00:00.000
273,20120309,13535,4,Accessories,32,Hydration Packs,2012-03-09 00:00:00.000
274,20120404,13541,4,Accessories,26,Bike Racks,2012-04-04 00:00:00.000
275,20120306,13543,3,Clothing,19,Caps,2012-03-06 00:00:00.000
276,20120306,13543,3,Clothing,23,Socks,2012-03-06 00:00:00.000
277,20120306,13543,4,Accessories,33,Lights,2012-03-06 00:00:00.000
278,20120327,13562,3,Clothing,25,Vests,2012-03-27 00:00:00.000
279,20120327,13562,4,Accessories,34,Locks,2012-03-27 00:00:00.000
280,20120319,13586,4,Accessories,26,Bike Racks,2012-03-19 00:00:00.000
281,20120321,13587,4,Accessories,35,Panniers,2012-03-21 00:00:00.000
282,20120424,13588,4,Accessories,37,Tires and Tubes,2012-04-24 00:00:00.000
283,20120410,13597,4,Accessories,34,Locks,2012-04-10 00:00:00.000
284,20120328,13618,3,Clothing,24,Tights,2012-03-28 00:00:00.000
285,20120419,13620,3,Clothing,23,Socks,2012-04-19 00:00:00.000
286,20120406,13627,3,Clothing,25,Vests,2012-04-06 00:00:00.000
287,20120420,13632,3,Clothing,19,Caps,2012-04-20 00:00:00.000
288,20120426,13639,4,Accessories,36,Pumps,2012-04-26 00:00:00.000
289,20120408,13643,4,Accessories,28,Bottles and Cages,2012-04-08 00:00:00.000
290,20120324,13668,3,Clothing,23,Socks,2012-03-24 00:00:00.000
291,20120324,13668,4,Accessories,31,Helmets,2012-03-24 00:00:00.000
292,20120415,13694,3,Clothing,23,Socks,2012-04-15 00:00:00.000
293,20120415,13694,4,Accessories,31,Helmets,2012-04-15 00:00:00.000
294,20120317,13719,3,Clothing,22,Shorts,2012-03-17 00:00:00.000
295,20120403,13732,3,Clothing,18,Bib-Shorts,2012-04-03 00:00:00.000
296,20120403,13732,3,Clothing,22,Shorts,2012-04-03 00:00:00.000
297,20120403,13732,4,Accessories,33,Lights,2012-04-03 00:00:00.000
298,20120421,13758,4,Accessories,30,Fenders,2012-04-21 00:00:00.000
299,20120421,13758,4,Accessories,33,Lights,2012-04-21 00:00:00.000
300,20120328,13778,3,Clothing,22,Shorts,2012-03-28 00:00:00.000
301,20120307,13836,4,Accessories,35,Panniers,2012-03-07 00:00:00.000
302,20120409,13837,4,Accessories,36,Pumps,2012-04-09 00:00:00.000
303,20120307,13842,3,Clothing,19,Caps,2012-03-07 00:00:00.000
304,20120407,13846,4,Accessories,31,Helmets,2012-04-07 00:00:00.000
305,20120413,13852,4,Accessories,28,Bottles and Cages,2012-04-13 00:00:00.000
306,20120413,13852,4,Accessories,32,Hydration Packs,2012-04-13 00:00:00.000
307,20120304,13918,3,Clothing,19,Caps,2012-03-04 00:00:00.000
308,20120304,13918,3,Clothing,21,Jerseys,2012-03-04 00:00:00.000
309,20120304,13918,3,Clothing,25,Vests,2012-03-04 00:00:00.000
310,20120326,13966,3,Clothing,22,Shorts,2012-03-26 00:00:00.000
311,20120409,13973,4,Accessories,36,Pumps,2012-04-09 00:00:00.000
312,20120331,13995,4,Accessories,36,Pumps,2012-03-31 00:00:00.000
313,20120326,14007,3,Clothing,18,Bib-Shorts,2012-03-26 00:00:00.000
314,20120423,14008,3,Clothing,21,Jerseys,2012-04-23 00:00:00.000
315,20120423,14008,4,Accessories,36,Pumps,2012-04-23 00:00:00.000
316,20120404,14009,3,Clothing,21,Jerseys,2012-04-04 00:00:00.000
317,20120404,14009,3,Clothing,24,Tights,2012-04-04 00:00:00.000
318,20120404,14009,4,Accessories,28,Bottles and Cages,2012-04-04 00:00:00.000
319,20120426,14014,4,Accessories,30,Fenders,2012-04-26 00:00:00.000
320,20120331,14016,3,Clothing,21,Jerseys,2012-03-31 00:00:00.000
321,20120331,14016,4,Accessories,27,Bike Stands,2012-03-31 00:00:00.000
322,20120229,14020,3,Clothing,24,Tights,2012-02-29 00:00:00.000
323,20120320,14050,4,Accessories,35,Panniers,2012-03-20 00:00:00.000
324,20120401,14066,3,Clothing,19,Caps,2012-04-01 00:00:00.000
325,20120401,14066,4,Accessories,27,Bike Stands,2012-04-01 00:00:00.000
326,20120311,14067,3,Clothing,20,Gloves,2012-03-11 00:00:00.000
327,20120311,14067,4,Accessories,37,Tires and Tubes,2012-03-11 00:00:00.000
328,20120229,14070,4,Accessories,27,Bike Stands,2012-02-29 00:00:00.000
329,20120404,14091,4,Accessories,27,Bike Stands,2012-04-04 00:00:00.000
330,20120404,14091,4,Accessories,29,Cleaners,2012-04-04 00:00:00.000
331,20120311,14108,4,Accessories,28,Bottles and Cages,2012-03-11 00:00:00.000
332,20120311,14108,4,Accessories,30,Fenders,2012-03-11 00:00:00.000
333,20120302,14124,4,Accessories,35,Panniers,2012-03-02 00:00:00.000
334,20120408,14131,3,Clothing,21,Jerseys,2012-04-08 00:00:00.000
335,20120408,14131,4,Accessories,30,Fenders,2012-04-08 00:00:00.000
336,20120312,14134,4,Accessories,33,Lights,2012-03-12 00:00:00.000
337,20120320,14142,4,Accessories,36,Pumps,2012-03-20 00:00:00.000
338,20120310,14146,3,Clothing,18,Bib-Shorts,2012-03-10 00:00:00.000
339,20120310,14146,4,Accessories,29,Cleaners,2012-03-10 00:00:00.000
340,20120229,14153,4,Accessories,37,Tires and Tubes,2012-02-29 00:00:00.000
341,20120424,14165,3,Clothing,18,Bib-Shorts,2012-04-24 00:00:00.000
342,20120424,14165,4,Accessories,35,Panniers,2012-04-24 00:00:00.000
343,20120409,14209,3,Clothing,24,Tights,2012-04-09 00:00:00.000
344,20120411,14212,4,Accessories,35,Panniers,2012-04-11 00:00:00.000
345,20120324,14213,3,Clothing,25,Vests,2012-03-24 00:00:00.000
346,20120324,14213,4,Accessories,34,Locks,2012-03-24 00:00:00.000
347,20120322,14215,4,Accessories,30,Fenders,2012-03-22 00:00:00.000
348,20120419,14216,4,Accessories,35,Panniers,2012-04-19 00:00:00.000
349,20120315,14217,4,Accessories,31,Helmets,2012-03-15 00:00:00.000
350,20120304,14220,4,Accessories,36,Pumps,2012-03-04 00:00:00.000
351,20120324,14222,3,Clothing,20,Gloves,2012-03-24 00:00:00.000
352,20120405,14227,4,Accessories,26,Bike Racks,2012-04-05 00:00:00.000
353,20120420,14228,3,Clothing,22,Shorts,2012-04-20 00:00:00.000
354,20120420,14228,3,Clothing,25,Vests,2012-04-20 00:00:00.000
355,20120325,14229,4,Accessories,27,Bike Stands,2012-03-25 00:00:00.000
356,20120325,14229,4,Accessories,32,Hydration Packs,2012-03-25 00:00:00.000
357,20120330,14264,3,Clothing,20,Gloves,2012-03-30 00:00:00.000
358,20120330,14264,3,Clothing,21,Jerseys,2012-03-30 00:00:00.000
359,20120330,14264,4,Accessories,36,Pumps,2012-03-30 00:00:00.000
